ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
BVIC,BVIC.JK,Bank Victoria International Tb,30 Jun 1999,18235266754,Utama,active,
BWPT,BWPT.JK,Eagle High Plantations Tbk.,27 Okt 2009,31525291000,Utama,active,
BYAN,BYAN.JK,Bayan Resources Tbk.,12 Agt 2008,33333335000,Utama,active,
CAKK,CAKK.JK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1203300219,Pengembangan,active,
CAMP,CAMP.JK,Campina Ice Cream Industry Tbk,19 Des 2017,5885000000,Pengembangan,active,
CANI,CANI.JK,Capitol Nusantara Indonesia Tb,16 Jan 2014,833440000,Pemantauan Khusus,special_monitoring,
CARE,CARE.JK,Metro Healthcare Indonesia Tbk,13 Mar 2020,33250000000,Pengembangan,active,
CARS,CARS.JK,Industri dan Perdagangan Bintr,10 Apr 2017,15000000000,Utama,active,
CASA,CASA.JK,Capital Financial Indonesia Tb,19 Jul 2016,54476269803,Pengembangan,active,
CASH,CASH.JK,Cashlez Worldwide Indonesia Tb,04 Mei 2020,1431125517,Akselerasi,active,
CASS,CASS.JK,Cahaya Aero Services Tbk.,05 Des 2011,2086950000,Utama,active,
CBDK,CBDK.JK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5668944500,Utama,active,
CBMF,CBMF.JK,Cahaya Bintang Medan Tbk.,09 Apr 2020,1875000000,Pemantauan Khusus,special_monitoring,
CBPE,CBPE.JK,Citra Buana Prasida Tbk.,06 Jan 2023,1356250000,Pengembangan,active,
CBRE,CBRE.JK,Cakra Buana Resources Energi T,09 Jan 2023,4538067441,Pengembangan,active,
CBUT,CBUT.JK,Citra Borneo Utama Tbk.,08 Nov 2022,3125000000,Pengembangan,active,
CCSI,CCSI.JK,Communication Cable Systems In,18 Jun 2019,1333333331,Pengembangan,active,
CDIA,CDIA.JK,Chandra Daya Investasi Tbk.,09 Jul 2025,124829374700,Pengembangan,active,
CEKA,CEKA.JK,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595000000,Pengembangan,active,
CENT,CENT.JK,Centratama Telekomunikasi Indo,01 Nov 2001,31183464900,Pengembangan,active,
CFIN,CFIN.JK,Clipan Finance Indonesia Tbk.,27 Agt 1990,3984520457,Utama,active,
CGAS,CGAS.JK,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1771499039,Pengembangan,active,
CHEK,CHEK.JK,Diastika Biotekindo Tbk.,10 Jul 2025,4113331485,Pengembangan,active,
CHEM,CHEM.JK,Chemstar Indonesia Tbk.,08 Jul 2022,1700014594,Pengembangan,active,
CHIP,CHIP.JK,Pelita Teknologi Global Tbk.,08 Feb 2023,806000000,Akselerasi,active,
CINT,CINT.JK,Chitose Internasional Tbk.,27 Jun 2014,1000000000,Pengembangan,active,
CITA,CITA.JK,Cita Mineral Investindo Tbk.,20 Mar 2002,3960361250,Utama,active,
CITY,CITY.JK,Natura City Developments Tbk.,28 Sep 2018,5405188966,Pengembangan,active,
CLAY,CLAY.JK,Citra Putra Realty Tbk.,18 Jan 2019,2570000000,Pengembangan,active,
CLEO,CLEO.JK,Sariguna Primatirta Tbk.,05 Mei 2017,24000000000,Utama,active,
CLPI,CLPI.JK,Colorpak Indonesia Tbk.,30 Nov 2001,306338500,Pengembangan,active,
CMNP,CMNP.JK,Citra Marga Nusaphala Persada,10 Jan 1995,6696354391,Utama,active,
CMNT,CMNT.JK,Cemindo Gemilang Tbk.,08 Sep 2021,17125504000,Pengembangan,active,
CMPP,CMPP.JK,AirAsia Indonesia Tbk.,08 Des 1994,10685124441,Pemantauan Khusus,special_monitoring,
CMRY,CMRY.JK,Cisarua Mountain Dairy Tbk.,06 Des 2021,7934683000,Utama,active,
CNKO,CNKO.JK,Exploitasi Energi Indonesia Tb,20 Nov 2001,8956361206,Pemantauan Khusus,special_monitoring,
CNMA,CNMA.JK,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,83345000000,Pengembangan,active,
CNTX,CNTX.JK,Century Textile Industry Tbk.,22 Mei 1979,70000000,Pemantauan Khusus,special_monitoring,
COAL,COAL.JK,Black Diamond Resources Tbk.,07 Sep 2022,6250000000,Pengembangan,active,
COCO,COCO.JK,Wahana Interfood Nusantara Tbk,20 Mar 2019,3559455924,Pengembangan,active,
COIN,COIN.JK,Indokripto Koin Semesta Tbk.,09 Jul 2025,14705882400,Pengembangan,active,
COWL,COWL.JK,Cowell Development Tbk.,19 Des 2007,4871214021,Pemantauan Khusus,special_monitoring,
CPIN,CPIN.JK,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16398000000,Utama,active,
CPRI,CPRI.JK,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2433379958,Pemantauan Khusus,special_monitoring,
CPRO,CPRO.JK,Central Proteina Prima Tbk.,28 Nov 2006,59572382787,Pengembangan,active,
CRAB,CRAB.JK,Toba Surimi Industries Tbk.,10 Agt 2022,1950000000,Pengembangan,active,
CRSN,CRSN.JK,Carsurin Tbk.,10 Jul 2023,2892000000,Pengembangan,active,
